Ticker,Ticker + Name,Name
STEM,STEM | Stem Inc. Class A Common Stock,Stem Inc. Class A Common Stock
CNX,CNX | CNX Resources Corporation Common Stock,CNX Resources Corporation Common Stock
FBC,FBC | Flagstar Bancorp Inc. Common Stock,Flagstar Bancorp Inc. Common Stock
CPE,CPE | Callon Petroleum Company Common Stock,Callon Petroleum Company Common Stock
EVA,EVA | Enviva Partners LP Common units representing limited partner interests,Enviva Partners LP Common units representing limited partner interests
MLHR,MLHR | Herman Miller Inc. Common Stock,Herman Miller Inc. Common Stock
THRM,THRM | Gentherm Inc Common Stock,Gentherm Inc Common Stock
AUB,AUB | Atlantic Union Bankshares Corporation Common Stock,Atlantic Union Bankshares Corporation Common Stock
JJSF,JJSF | J & J Snack Foods Corp. Common Stock,J & J Snack Foods Corp. Common Stock
GHC,GHC | Graham Holdings Company Common Stock,Graham Holdings Company Common Stock
CSQ,CSQ | Calamos Strategic Total Return Common Stock,Calamos Strategic Total Return Common Stock
PRTA,PRTA | Prothena Corporation plc Ordinary Shares,Prothena Corporation plc Ordinary Shares
PAYO,PAYO | Payoneer Global Inc. Common Stock,Payoneer Global Inc. Common Stock
NXE,NXE | Nexgen Energy Ltd. Common Shares,Nexgen Energy Ltd. Common Shares
MRCY,MRCY | Mercury Systems Inc Common Stock,Mercury Systems Inc Common Stock
PIPR,PIPR | Piper Sandler Companies Common Stock,Piper Sandler Companies Common Stock
BOOT,BOOT | Boot Barn Holdings Inc. Common Stock,Boot Barn Holdings Inc. Common Stock
KTB,KTB | Kontoor Brands Inc. Common Stock ,Kontoor Brands Inc. Common Stock 
AVA,AVA | Avista Corporation Common Stock,Avista Corporation Common Stock
UNIT,UNIT | Uniti Group Inc. Common Stock,Uniti Group Inc. Common Stock
ONB,ONB | Old National Bancorp Common Stock,Old National Bancorp Common Stock
PAY,PAY | Paymentus Holdings Inc. Class A Common Stock,Paymentus Holdings Inc. Class A Common Stock
DOMO,DOMO | Domo Inc. Class B Common Stock,Domo Inc. Class B Common Stock
CNNE,CNNE | Cannae Holdings Inc. Common Stock,Cannae Holdings Inc. Common Stock
VSH,VSH | Vishay Intertechnology Inc. Common Stock,Vishay Intertechnology Inc. Common Stock
ADV,ADV | Advantage Solutions Inc. Class A Common Stock,Advantage Solutions Inc. Class A Common Stock
ACAD,ACAD | ACADIA Pharmaceuticals Inc. Common Stock,ACADIA Pharmaceuticals Inc. Common Stock
FBP,FBP | First BanCorp. New Common Stock,First BanCorp. New Common Stock
FORM,FORM | FormFactor Inc. FormFactor Inc. Common Stock,FormFactor Inc. FormFactor Inc. Common Stock
KTOS,KTOS | Kratos Defense & Security Solutions Inc. Common Stock,Kratos Defense & Security Solutions Inc. Common Stock
CDLX,CDLX | Cardlytics Inc. Common Stock,Cardlytics Inc. Common Stock
OMAB,OMAB | Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS
BALY,BALY | Bally's Corporation Common Stock,Bally's Corporation Common Stock
UFS,UFS | Domtar Corporation (NEW) Common Stock,Domtar Corporation (NEW) Common Stock
LAW,LAW | CS Disco Inc. Common Stock,CS Disco Inc. Common Stock
CADE,CADE | Cadence Bancorporation Class A Common Stock,Cadence Bancorporation Class A Common Stock
HHR,HHR | HeadHunter Group PLC American Depositary Shares,HeadHunter Group PLC American Depositary Shares
CENT,CENT | Central Garden & Pet Company Common Stock,Central Garden & Pet Company Common Stock
ABR,ABR | Arbor Realty Trust Common Stock,Arbor Realty Trust Common Stock
GSAT,GSAT | Globalstar Inc. Common Stock,Globalstar Inc. Common Stock
USM,USM | United States Cellular Corporation Common Stock,United States Cellular Corporation Common Stock
LBRT,LBRT | Liberty Oilfield Services Inc. Class A Common Stock,Liberty Oilfield Services Inc. Class A Common Stock
HLIO,HLIO | Helios Technologies Inc. Common Stock,Helios Technologies Inc. Common Stock
CVET,CVET | Covetrus Inc. Common Stock,Covetrus Inc. Common Stock
COLB,COLB | Columbia Banking System Inc. Common Stock,Columbia Banking System Inc. Common Stock
HTH,HTH | Hilltop Holdings Inc.,Hilltop Holdings Inc.
AGIO,AGIO | Agios Pharmaceuticals Inc. Common Stock,Agios Pharmaceuticals Inc. Common Stock
MGEE,MGEE | MGE Energy Inc,MGE Energy Inc
EBS,EBS | Emergent Biosolutions Inc. Common Stock,Emergent Biosolutions Inc. Common Stock
BDC,BDC | Belden Inc Common Stock,Belden Inc Common Stock
CVBF,CVBF | CVB Financial Corporation Common Stock,CVB Financial Corporation Common Stock
CSTM,CSTM | Constellium SE Ordinary Shares (France),Constellium SE Ordinary Shares (France)
FCEL,FCEL | FuelCell Energy Inc. Common Stock,FuelCell Energy Inc. Common Stock
MANU,MANU | Manchester United Ltd. Class A Ordinary Shares,Manchester United Ltd. Class A Ordinary Shares
BCRX,BCRX | BioCryst Pharmaceuticals Inc. Common Stock,BioCryst Pharmaceuticals Inc. Common Stock
SPXC,SPXC | SPX Corporation Common Stock,SPX Corporation Common Stock
TBK,TBK | Triumph Bancorp Inc. Common Stock,Triumph Bancorp Inc. Common Stock
GBDC,GBDC | Golub Capital BDC Inc. Common Stock,Golub Capital BDC Inc. Common Stock
EGHT,EGHT | 8x8 Inc Common Stock,8x8 Inc Common Stock
BIPC,BIPC | Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares ,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares 
SHO,SHO | Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares,Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares
PTCT,PTCT | PTC Therapeutics Inc. Common Stock,PTC Therapeutics Inc. Common Stock
SCL,SCL | Stepan Company Common Stock,Stepan Company Common Stock
FORG,FORG | ForgeRock Inc. Class A Common Stock,ForgeRock Inc. Class A Common Stock
WOR,WOR | Worthington Industries Inc. Common Stock,Worthington Industries Inc. Common Stock
VAL,VAL | Valaris Limited Common Shares,Valaris Limited Common Shares
CVA,CVA | Covanta Holding Corporation Common Stock,Covanta Holding Corporation Common Stock
RIOT,RIOT | Riot Blockchain Inc.  Common Stock ,Riot Blockchain Inc.  Common Stock 
DOOR,DOOR | Masonite International Corporation Ordinary Shares (Canada),Masonite International Corporation Ordinary Shares (Canada)
MDP,MDP | Meredith Corporation Common Stock,Meredith Corporation Common Stock
ACCD,ACCD | Accolade Inc. Common Stock,Accolade Inc. Common Stock
EVH,EVH | Evolent Health Inc Class A Common Stock,Evolent Health Inc Class A Common Stock
HSKA,HSKA | Heska Corporation Common Stock,Heska Corporation Common Stock
REGI,REGI | Renewable Energy Group Inc. Common Stock,Renewable Energy Group Inc. Common Stock
RUSHA,RUSHA | Rush Enterprises Inc. Common Stock Cl A,Rush Enterprises Inc. Common Stock Cl A
RUSHB,RUSHB | Rush Enterprises Inc. Class B,Rush Enterprises Inc. Class B
INDB,INDB | Independent Bank Corp. Common Stock,Independent Bank Corp. Common Stock
JXN,JXN | Jackson Financial Inc. Class A Common Stock ,Jackson Financial Inc. Class A Common Stock 
FUN,FUN | Cedar Fair L.P. Common Stock,Cedar Fair L.P. Common Stock
BROS,BROS | Dutch Bros Inc. Class A Common Stock,Dutch Bros Inc. Class A Common Stock
NMRK,NMRK | Newmark Group Inc. Class A Common Stock,Newmark Group Inc. Class A Common Stock
IBOC,IBOC | International Bancshares Corporation Common Stock,International Bancshares Corporation Common Stock
BRC,BRC | Brady Corporation Common Stock,Brady Corporation Common Stock
SAGE,SAGE | Sage Therapeutics Inc. Common Stock,Sage Therapeutics Inc. Common Stock
TRQ,TRQ | Turquoise Hill Resources Ltd. Ordinary Shares,Turquoise Hill Resources Ltd. Ordinary Shares
AUPH,AUPH | Aurinia Pharmaceuticals Inc Ordinary Shares,Aurinia Pharmaceuticals Inc Ordinary Shares
PLXS,PLXS | Plexus Corp. Common Stock,Plexus Corp. Common Stock
SHI,SHI | SINOPEC Shangai Petrochemical Company Ltd. Common Stock,SINOPEC Shangai Petrochemical Company Ltd. Common Stock
VERX,VERX | Vertex Inc. Class A Common Stock,Vertex Inc. Class A Common Stock
FULT,FULT | Fulton Financial Corporation Common Stock,Fulton Financial Corporation Common Stock
